,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
WPNAME_ROCKETLAUNCHER_RELIC,Relic Rocket Launcher,Bazuca de Relíquia,Galahorne,Реликвийная ракетница,こだいのロケラン,Relikt Raketenwerfer,Lance roquettes relique,Lanzacohetes de reliquia,Relic Rocket Launcher,Relic 로켓런쳐,Relikwie Raket Lanceerder,Lanciarazzi della Reliquia,Relic Rocket Launcher,遗迹火箭发射器,Relic Rocket Launcher,Reliktowa Wyrzutnia Rakiet,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,מטול טילים פסל,Relik Raketgevär,Κειμήλιο Ρουκετοβόλο,Relic Rocket Launcher,Yadigar Roket Atar,أثر قاذفة صواريخ,Relic Rocket Launcher,Reliikki Raketinheitin,Реликвена Ракетоизтрелвачка,Relikvinis granatsvaidis
WPNAME_GLOVES,Gloves,Luvas,Socadoras,Рукавицы,グローブ,Handschuhe,Gants,Guantes,Gloves,글로브,Handschoenen,Guanti,Gloves,手套,Gloves,Rękawice,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,כפפות,Handskar,Γάντια,Gloves,Eldivenler,قفازات,Gloves,Hanskat,Ракъвици,Pirštinės
WPNAME_BUCKLER,Buckler,Escudo,Tampa De Lixo,Ручной щит,バックラー,Der Beschützer,Bouclier,Rodela,Buckler,둥근 방패,Buckler,Buckler,Buckler,圆盾,Buckler,Puklerz,Buckler,Buckler,Buckler,Buckler,Buckler,Buckler,מגן קרב,Bucklare,Ζώνη,Buckler,Kalkan,ترس,Buckler,Vyönsolki,Buckler,Skydas
WPNAME_RELIC_CANNON,Relic Cannon,Canhão de Relíquia,Trabuco Triplo,Реликвийная пушка,こだいのたいほう,Relikt Kanone,Canon relique,Cañon de reliquia,Relic Cannon,Relic 캐논,Reliek kannon,Cannone della Reliquia,Relic Cannon,遗迹大炮,Relic Cannon,Reliktowe Działo,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Κειμήλιο Κανόνι,Relic Cannon,Yadigar Top,أثر مدفع,Relic Cannon,Reliikki Kanuuna,Реликвен Топ,Relic Cannon
WPNAME_MINIGUN_RELIC,Relic Minigun,Minigun de Relíquia,Metrancona OP,Реликвийная мини-пушка,こだいのミニガン,Relikt Minigun,Minigun relique,Minigun de reliquia,Relic Minigun,Relic 미니건,Reliek Minigun,Minigun della Reliquia,Relic Minigun,遗迹机枪,Relic Minigun,Reliktowy Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Κειμήλιο Μίνιγκαν,Relic Minigun,Yadigar Tabanca,أثر مينيغون,Relic Minigun,Reliikki Minigun,Реликвен минигън,Relic Minigun
WPNAME_MINIGUN,Minigun,Minigun,Metrancona,Мини-пушка,ミニガン,Minigun,Minigun,Minigun,Minigun,미니건,Minigun,Minigun,Minigun,机枪,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Μίνιγκαν,Minigun,Yadigar Minigun,مينيغون,Minigun,Minigun,Минигън,Minigun
WPNAME_FLAKCANNON,Flak Cannon,Canhão Flak,Trabuco Espalhado,Зенитная пушка,さんだんたいほう,FLAK,Canon anti-aérien,Cañon Flak,Flak Cannon,대공포 캐논,Flak Cannon,Cannone Flak,Flak Cannon,高射大炮,Flak Cannon,Działo Przeciwlotnicze,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Uçaksavar,مدفع مضاد,Flak Cannon,Flak-Tykki,Флак Топ,Flak Cannon
WPNAME_DUCAN_RIFLE,Ducan Rifle,Rifle Ducan,Rifle do Bope,Винтовка Уткана,デュカンのライフル,Ducan Gewehr,Fusil Ducan,Rifle Ducan,Ducan Rifle,Ducan 라이플,Ducan Jachtgeweer,Fucile Ducan,Ducan Rifle,Ducan 步枪,Ducan Rifle,Karabin Ducana,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Τουφέκι Πάπιου,Ducan Rifle,Ducan Rifle,بندقية دوكان,Ducan Rifle,Ducan Kivääri,Дукански автомат,Ducan Rifle
WPNAME_DUCAN_PLASMA,Ducan Plasma,Plasma Ducan,Plasma do Bope,Плазменный пистолет Уткана,デュカンのプラズマ,Ducan Plasma,Plasma Ducan,Plasma Ducan,Ducan Plasma,Ducan 플라즈마,Ducan Plasma,Plasma Ducan,Ducan Plasma,Ducan 等离子枪,Ducan Plasma,Plazma Ducana,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Πλάσμα Πάπιου,Ducan Plasma,Ducan Plazma,بلازما دوكان,Ducan Plasma,Ducan Plasma,"Дуканска Плазма
",Ducan Plasma
WPNAME_DUCAN_SHOTGUN,Ducan Shotgun,Escopeta Ducan,Escopeta do Bope,Дробовик Уткана,デュカンのショットガン,Ducan Schrotflinte,Fusil à pompe Ducan,Escopeta Ducan,Ducan Shotgun,Ducan 샷건,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan 霰散弹,Ducan Shotgun,Strzelba Ducana,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Καραμπίνα Πάπιου,Ducan Shotgun,Ducan Pompalı Tüfek,دوكان شوزن,Ducan Shotgun,Ducan Haulikko,"Дуканска Ловджийска пушка
",Ducan Shotgun
WPNAME_SPOOKY_REAPER,Spooky Reaper,Ceifador Assustador,Tambor da Macumba,Призрачный Жнец,のろわれたしにがみ,Spooky Reaper,Spooky Reaper,Segadora escalofriante,Spooky Reaper,유령 사신,Spooky Reaper,Mietitore Spooky,Spooky Reaper,幽魂收割者,Spooky Reaper,Upiorny Żniwiarz,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Στοιχιωμένος Θεριστής,Spooky Reaper,Spooky Reaper,حاصد مخيف,Spooky Reaper,Aavemainen Viikatemies,Косата на Спооки,Spooky Reaper
WPNAME_SPOOKY_BEAMER,Spooky Beamer,Laser Assustador,Lazer da Macumba,Призрачный Бимер,のろわれたビームじゅう,Spooky Beamer,Spooky Beamer,Pistola de rayos escalofriante,Spooky Beamer,유령 Beamer,Spooky Beamer,Laser Spooky,Spooky Beamer,幽魂光束枪,Spooky Beamer,Upiorny Promień,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,بلازما مخيف,Spooky Beamer,Aavemainen Sädetin,"Лазера на Спооки
",Spooky Beamer
WPNAME_SPOOKY_PISTOL,Spooky Pistol,Pistola Assustadora,Pistola da Macumba,Призрачный пистолет,のろわれたピストル,Spooky Pistol,Pisolet Spooky,Pistola escalofriante,Spooky Pistol,유령 권총,Spooky Pistol,Pistola Spooky,Spooky Pistol,幽魂手枪,Spooky Pistol,Upiorny Pistolet,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Στοιχιωμένο Πιστόλι,Spooky Pistol,Hortlak Tabanca,مسدس مخيف,Spooky Pistol,Aavemainen Pistooli,Пистолета на Спооки,Spooky Pistol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL_JIMMY,JIMMY,JIMMY,JOÃOZINHO,ДЖИММИ,JIMMY,JIMMY,JIMMY,JIMMY,Jimmy,JIMMY 지미,JIMMY,JIMMY,JIMMY,JIMMY 吉米,JIMMY,JIMMY,JIMMY,JIMMY จิมมี่,JIMMY,LIAM,,Jimmy,ג'ימי,JIMMY,ΤΖΙΜΙ,JIMMY,JIMMY,جِمي,JIMMY,JIMMY,ДЖИМИ,DŽIMIS
GENERAL_PINKYY,PINKYY,PINKYY,TATII,ПИНКИ,PINKYY,PINKYY,PINKYY,PINKYY,Pinkyy,PINKYY 핑키,PINKYY,PINKYY,PINKYY 美琪,PINKYY 小粉,PINKYY,PINKYY,PINKYY,PINKYY พิงค์กี้,PINKYY,PINKY,,Pinkyy,פינקיי,PINKYY,ΠΙΝΚΙ,PINKYY,PINKYY,بِنكي,PINKY,PINKYY,ПИНКИ,ROŽINUKĖ
GENERAL_RAFF,RAFF,RAFF,ALEMÃO,РАФФ,RAFF,RAFF,RAFF,RAFF,Raff,RAFF 래프,RAFF,RAFF,RAFF 拉夫,RAFF 拉夫,RAFF,RAFF,RAFF,RAFF ราฟ,RAFF,RAFF.,,Raff,ראף,RAFF,ΡΑΦ,RAFF,RAFF,راف,RAFF,RAFF,РАФ,RAFAS
GENERAL_BIU,BIU,BIU,TIÃO,БЬЮ,BIU,BIU,BIU,BIU,Biu,BIU,BIU,BIU,BIU 鏢,BIU 彪,BIU,BIU,BIU,BIU เบียว,BIU,BIU.,,Biu,ביו,BIU,ΜΠΙΟΥ,BIU,BIU,بيو,BIU,BIU,БИУ,BIU
GENERAL_PUNNY,PANZER,PANZER,NOVINHA,ПЭННИ,PANZER,PANZER,PANZER,PANZER,Panzer,PANZER 푸니,PANZER,PANZER,PANZER 賓尼,PANZER 帕尼,PANZER,PANZER,PANZER,PANZER พันนี่,PANZER,PANZER.,,Panzer,פאני,PANZER,ΠΑΝΙ,PANZER,PANZER,بَني,PANZER,PANZER,ПУНИ,MAŽOJI
GENERAL_ASS,ACE,ACE,JEGUE,ЭЙС,ACE,ACE,ACE,ACE,Ace,ACE 에이스,ACE,ASSO,Ace 驢子,ACE 艾斯,ACE,ACE,ACE,ACE เอซ,ESEL,ÆSEL.,,A$$,החמור,ACE,ΑΣ,ACE,ACE,آيس,ACE,ACE,ЕЙС,EISAS
GENERAL_RIDER,RED,RED,MENDIGA,РЭД,RED,RED,RED,RED,RED,RED 레드,RED,RED,RED,RED,RED,RED,RED,RED เรด,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,РЕД,RED
GENERAL_RANDOM,RANDOM,ALEATÓRIO,VAI QQ UM,СЛУЧАЙНЫЙ,ランダム,Zufall,ALEATOIRE,ALEATORIO,Náhodně,무작위,WILLEKEURIG,CASUALE,隨機,随机角色,Acak,Losowo,VÉLETLENSZERÜ,สุ่ม,TILFELDIG,TILFÆLDIG.,,Any o' 'em,אקראי,RANDOM,ΤΥΧΑΙΑ ΕΠΙΛΟΓΗ,WILLEKEURIG,RASTGELE,عشوائي,RANDOM,SATUNNAINEN,Случаен,ATSITIKTINIS
GENERAL_HP,HP,VIDA,SANGUE,ЗДОРОВЬЕ,HP,LP,VIE,Vida,Zdraví,체력,HP,VITA,體力,血量,Nyawa,ŻYCIE,ÉLETERŐ,พลังชีวิต,HP,HP.,,Vigor,HP,HP,ΥΓΕΙΑ,Sinh Lực,CAN,صحة,VIDA,TERVEYS,"ЖИВОТ
",GIVYBĖS
GENERAL_SHIELD,SHIELD,ESCUDO,ESCUDINHO,ЩИТ,シールド,Schild,BOUCLIER,Escudo,Štít,실드,SCHILD,SCUDO,護甲,护盾,Perisai,TARCZA,PAJZS,เกราะ,SKJOLD,SKJOLD,,Dodge,מגן,SKÖLD,ΑΣΠΙΔΑ,Áo Giáp,KALKAN,حماية,ESCUDO,SUOJA,ЩИТ,SKYDAS
GENERAL_STAMINA,STAMINA,STAMINA,FÔLEGO,ВЫНОСЛИВОСТЬ,スタミナ,Ausdauer,ENDURANCE,Energía,Výdrž,스태미나,STAMINA,STAMINA,耐力,耐力,Stamina,WYTRZYMAŁOŚĆ,ÁLLÓKÉPESSÉG,ความอึด,STAMINA,STAMINA,,Exhaustion,סיבולת,STAMINA,ΑΝΤΟΧΗ,Thể Lực,NEFES SEVİYESİ,تحمل,STAMINA,KESTÄVYYS,ИЗДРЪЖЛИВОСТ,IŠTVERMĖ
GENERAL_LIGHTAMMO,LIGHT AMMO,MUNIÇÃO LEVE,BALA LEVE,ЛЕГКИЕ БОЕПРИПАСЫ,LIGHT AMMO,Leichte Munition,MUNITION LEGERE,Munición Ligera,Lehká munice,소형탄환,LICHTE MUNITIE,MUNIZ. LEGGERE,輕型彈藥,轻型弹药,Amunisi ringan,LEKKA AMUNICJA,KÖNNYŰ TŐLTÉNY,กระสุนปืนเบา,LETT AMMUNISJON,LET SKYTS,,Light Shots,כדורים קלים,LÄTT AMMUNITION,ΕΛΑΦΡΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nhỏ,HAFİF CEPHANE,ذخيرة خفيفة,MUNIÇÃO LEVE,KEVYET AMMUKSET,Леки патрони,LENGVA AMUNICIJA
GENERAL_MEDIUMAMMO,MEDIUM AMMO,MUNIÇÃO MÉDIA,BALA MEDIA,СРЕДНИЕ БОЕПРИПАСЫ,MEDIUM AMMO,Mittlere Munition,MUNITION MOYENNE,Munición Media,Střední munice,중형탄환,MATIGE MUNITIE,MUNIZ. MEDIE,中型彈藥,中型弹药,Amunisi sedang,ŚREDNIE AMUNICJA,KÖZEPES TÖLTÉNY,กระสุนปืนกลาง,MIDDELS AMMUNISJON,MELLEM SKYTS,,Normal Shots,כדורים בינוניים,MEDIUM AMMUNITION,ΜΕΣΑΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Trung,ORTA CEPHANE,ذخيرة متوسطة,MUNIÇÃO MÉDIA,KESKIKOKOISET AMMUKSET,Средни патрони,VIDUTINĖ AMUNICIJA
GENERAL_HEAVYAMMO,HEAVY AMMO,MUNIÇÃO PESADA,BALA SINISTRA,ТЯЖЕЛЫЕ БОЕПРИПАСЫ,HEAVY AMMO,Schwere Munition,MUNITION LOURDE,Munición Pesada,Těžká munice,대형탄환,ZWARE MUNITIE,MUNIZ. PESANTI,重型彈藥,重型弹药,Amunisi berat,CIĘŻKA AMUNICJA,NEHÉZ TÖLTÉNY,กระสุนปืนหนัก,TUNGT AMMUNISJON,TUNGT SKYTS,,Big Shots,כדורים כבדים,TUNG AMMUNITION,ΒΑΡΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nặng,AĞIR CEPHANE,ذخيرة ثقيلة,MUNIÇÃO PESADA,RASKAAT AMMUKSET,Тежки Патрони,SUNKI AMUNICIJA
GENERAL_GRENADES,GRENADES,GRANADAS,BOMBA,ГРАНАТЫ,グレネード,Granaten,GRENADES,Granadas,Granát,수류탄,GRANATEN,GRANATE,手榴彈,手榴弹,Granat,GRANATY,GRÁNÁTOK,ระเบิด,GRANATER,GANATER,,Boomers,רימונים,GRANATER,ΧΕΙΡΟΒΟΜΒΙΔΕΣ,Lựu Đạn,EL BOMBASI,القنابل اليدوية,GRANADAS,KRANAATIT,Гранати,GRANATOS
GENERAL_SHOP_OVERSHIELD,OVERSHIELD,ESCUDO EXTRA,ESCUDÃO,ГИПЕРЩИТ,きょうかシールド,Superschild,Surcharge de bouclier,Escudo extra,Štít,과충전 실드,OVERLAAD SCHILD,SOVRASCUDO,額外護甲,额外护盾,Perisai tambahan,NADTARCZA,HIPERPAJZS,เกราะพิเศษ,EKSTRA SKJOLD,EKSTRA SKJOLD.,,Super Dodge,מגן נוסף,EXTRA SKÖLD,ΥΠΕΡΑΣΠΙΔΑ,Áo Giáp,Ağır Kalkan,الحماية,ESCUDO EXTRA,YLISUOJA,"Мултищит
",ANTSKYDIS
GENERAL_SHOP_LIGHTAMMO,EXTRA LIGHT AMMO,MUNIÇÃO LEVE EXTRA,BALA LEVE A '+,ДОП ЛЕГКИЕ БОЕПРИПАСЫ,EXTRA LIGHT AMMO,Extra leichte Munition,MUNITION LEGERE EXTRA,Munición ligera extra,Extra lehká munice,추가 소형 탄환,EXTRA LICHTE MUNITIE,MUNIZ. LEGGERE EXTRA,增量輕型彈藥,增量轻型弹药,Amunisi ringan tambahan,DODATKOWA LEKKA AMUNICJA,EXTRA KÖNNYŰ TÖLTÉNY,กระสุนปืนเบา,EKSTRA LETT AMMO,EKSTRA LET SKYTS,,More Light Shots,עוד כדורים קלים,EXTRA LÄTT AMMUNITION,ΕΠΙΠΛΕΟΝ ΕΛΑΦΡΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nhỏ Viện Trợ,FAZLADAN HAFİF CEPHANE,ذخيرة خفيفة إضافية,MUNIÇÃO LEVE EXTRA,EKSTRAKEVYET AMMUKSET,Леки патрони,PAPILDOMA LENGVA AMUNICIJA
GENERAL_SHOP_MEDIUMAMMO,EXTRA MEDIUM AMMO,MUNIÇÃO MÉDIA EXTRA,MAIS BALA MEDIA,ДОП СРЕДНИЕ БОЕПРИПАСЫ,EXTRA MEDIUM AMMO,Extra mittlere Munition,MUNITION MOYENNE EXTRA,Munición media extra,Extra střední munice,추가 중형 탄환,EXTRA MATIGE MUNITIE,MUNIZ. MEDIE EXTRA,增量中型彈藥,增量中型弹药,Amunisi sedang tambahan,DODATKOWA ŚREDNIA AMUNICJA,EXTRA KÖZEPES TÖLTÉNY,กระสุนปืนกลาง,EKSTRA MIDDELS AMMO,EKSTRA MELLEM SKYTS,,More Normal Shots,עוד כדורים בינוניים,EXTRA MEDIUM AMMUNITION,ΕΠΙΠΛΕΟΝ ΜΕΣΑΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Trung Viện Trợ,FAZLADAN ORTA CEPHANE,ذخيرة متوسطة إضافية,MUNIÇÃO MÉDIA EXTRA,EKSTRAKESKIKOKOISET AMMUKSET,Средни патрони,PAPILDOMA VIDUTINĖ AMUNICIJA
GENERAL_SHOP_HEAVYAMMO,EXTRA HEAVY AMMO,MUNIÇÃO PESADA EXTRA,'+ BALA SINISTRA,ДОП ТЯЖЕЛЫЕ БОЕПРИПАСЫ,EXTRA HEAVY AMMO,Extra schwere Munition,MUNITION LOURDE EXTRA,Munición pesada extra,Extra těžká munice,추가 대형 탄환,EXTRA ZWARE MUNITIE,MUNIZ. PESANTI EXTRA,增量重型彈藥,增量重型弹药,Amunisi berat tambahan,DODATKOWA CIĘŻKA AMUNICJA,EXTRA NEHÉZ TÖLTÉNY,กระสุนปืนหนัก,EKSTRA TUNGT AMMO,EKSTRA TUNGT SKYTS,,More Big Shots,עוד כדורים כבדים,EXTRA TUNG AMMUNITION,ΕΠΙΠΛΕΟΝ ΒΑΡΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nặng Viện Trợ,FAZLADAN AĞIR CEPHANE,ذخيرة ثقيلة إضافية,MUNIÇÃO PESADA EXTRA,EKSTRARASKAAT AMMUKSET,Тежки Патрони,PAPILDOMA SUNKI AMUNICIJA
GENERAL_SHOP_GRENADES,MORE GRENADES,GRANADAS EXTRAS,MAIS BOMBA,БОЛЬШЕ ГРАНАТ,ついか グレネード,Mehr Granaten,GRENADES EN PLUS,Más granadas,Extra granáty,수류탄 추가,MEER GRANATEN,PIÙ GRANATE,更多手榴彈,更多手榴弹,Granat lebih,WIĘCEJ GRANATÓW,MÉGTÖBB GRÁNÁT,ระเบิด เพิ่มเติม,FLERE GRANATER,FELERE GRANATER,,More Boomers,עוד רימונים,FLER GRANATER,ΠΕΡΙΣΣΟΤΕΡΕΣ ΧΕΙΡΟΒΟΜΒΙΔΕΣ,Lựu Đạn Viện trợ,DAHA FAZLA EL BOMBASI,قنابل أكثر,GRANADAS EXTRA,EKSTRAKRANAATIT,Още Гранати,DAUGIAU GRANATŲ
GENERAL_SHOP_RELIC,PIECE OF A RELIC,FRAGMENTO DE RELÍQUIA,PEDAÇO DE LEMBRANÇA,ЧАСТЬ РЕЛИКВИИ,いぶつの かけら,Stück eines Relikts,MORCEAU DE RELIQUE,Pieza de una reliquia,Kousek relikvie,Relic 조각,GEDEELTE VAN EEN RELIKWIE,PEZZO DI RELIQUIA,PIECE OF A RELIC,遗迹残块,PIECE OF A RELIC,FRAGMENT RELIKTU,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,חלק מפסל,PIECE OF A RELIC,ΚΟΜΜΑΤΙ ΕΝΟΣ ΚΕΙΜΗΛΙΟΥ,PIECE OF A RELIC,YADİGARIN BİR PARÇASI,قطعة أثرية,PIECE OF A RELIC,RELIIKIN PALA,Парче от Реликва,Relikvijos dalis
GENERAL_TELEPORTER_STAGE,STAGE:,FASE:,FAZE:,УРОВЕНЬ:,ステージ:,Level:,NIVEAU:,Nivel:,Úroveň:,스테이지 : ,NIVEAU:,LIVELLO:,階段：,关卡：,,POZIOM:,SZINT:,ด่าน,NIVÅ,ETAGE,,Ocean:,שלב:,NIVÅ,ΠΙΣΤΑ:,Màn :,BÖLÜM:,المرحلة:,NÍVEL:,TASO:,НИВО,LYGIS
GENERAL_DODGE,DODGE,ESQUIVA,ERROU,УВОРОТ,ドッジ,Ausweichen,ESQUIVE,Esquivar,Vyhnutí,회피,ONTWEKEN,SCHIVA,閃避,闪避,Menghindari,UNIK,KITÉRÉS,หลบ,DUKK,UNDVIG,,Missed,התחמקות!,UNDVIK,ΑΠΟΦΥΓΗ,Né Tránh,YANA KAÇMA,راوغ,DESVIAR,VÄISTÖ,Избягване,IŠVENGTI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPS_FIRSTDEATH,YOU KEEP ALL OF YOUR UNLOCKS,VOCÊ MANTÉM TUDO QUE DESTRAVAR,VC FICA COM AS TRAQUITANA TUDO,ВЫ СОХРАНЯЕТЕ ВСЁ ЧТО ОТКРЫЛИ,,Du behältst alle deine Freischaltungen.,VOUS CONSERVEZ CE QUE VOUS AVEZ DÉBLOQUÉ,Mantendrás todo lo que ya has desbloqueado,,,JE BEHOUD ALLES WAT JE ONTRGENDELD HEBT,MANTENI TUTTO QUELLO CHE HAI SBLOCCATO,,你留着你的所有解锁,,Zachowujesz odblokowane przez siebie predmioty,,ของที่ปลดล็อคแล้วจะไม่หายไป.,,,,,אתה שומר את כל מה שפתחת,DU BEHÅLLER ALLT DU LÅSER UPP,ΚΡΑΤΑΤΕ ΟΤΙ ΕΧΕΤΕ ΞΕΚΛΕΙΔΩΣΕΙ,,,إحتفظ بجميع الأشياء التي فتحتها,,,Запази Всички Отключаеми,Išsaugai visus savo atsidarymus
TIPS_DIG,"WHEN LOOKING FOR TREASURE, PAY ATTENTION TO THE PROXIMITY ALERTS","AO PROCURAR TESOURO, PRESTE ATENÇÃO NOS ALERTAS DE PROXIMIDADE",QNDO TIVER CAÇANO LEMBRANÇA. PRESTENÇÃO NO RADAR Ô ANTA,"ВО ВРЕМЯ ПОИСКА
 СОКРОВИЩА, ОБРАЩАЙТЕ 
ВНИМАНИЕ
 НА СИГНАЛЫ СБЛИЖЕНИЯ",,"Wenn du nach Schätzen suchst, achte auf deine Annäherungswarnungen.","QUAND VOUS CHERCHEZ UN TRÉSOR, VÉRIFIEZ LES ALERTES DE PROXIMITÉ","Cuando buscas un tesoro, presta atención a las alertas de aproximación",,,"ALS JE SCHATTEN ZOEKT, LET DAN OP DE AFSTANDSWAARSCHUWINGEN","QUANDO CERCHI I TESORI, PRESTA ATTENZIONE AI SUGGERIMENTI DI PROSSIMITÁ",,寻找宝藏的时候，留意靠近时提醒,,"Gdy szukasz skarbów, zwracaj uwagę na sygnał zbliżeniowy.",,ลองสังเกตุสัญญาณเตือนรอบๆให้ดี ขณะกำลังมองหาหีบสมบัติ.,,,,,"כשאתה מחפש אוצר, שם לב לעזאקות בקירוב.","NÄR DU LETAR EFTER SKATTER, HÅLL KOLL PÅ NÄRHETSLARMEN","ΟΤΑΝ ΨΑΧΤΕΤΕ ΓΙΑ ΘΗΣΑΥΡΟ, ΠΡΟΣΕΧΕΤΕ ΓΙΑ ΚΙΝΔΥΝΟΥΣ ΕΓΓΥΤΗΤΑΣ",,,"عندما تبحث عن الكنوز, انتبه لتبيه الاقتراب",,,"Когато Търсите за Съкровища, Внимавайте с линиите.",Kai ieškai lobio kreipk dėmesį į artumo rodiklius
TIPS_RELIC,YOU MUST EQUIP YOUR RELICS ON THE SHIP BEFORE USING THEM,VOCÊ DEVE EQUIPAR SUAS RELÍQUIAS NA NAVE ANTES DE USÁ-LAS,TEM QUE EQUIPAR AS LEMBRANÇA NO AVIÃO ANTES DE USAR Ô KKK,ДЛЯ ИСПОЛЬЗОВАНИЯ РЕЛИКВИИ ВЫ ДОЛЖНЫ ЭКИПИРОВАТЬ ЕЕ НА КОРАБЛЕ,,"Du musst deine Relikte auf dem Schiff ausrüsten, bevor du sie benutzen kannst.","VOUS DEVEZ ÉQUIPER VOS RELIQUES AU VAISSEAU AVANT DE LES UTILISER
",Debes equipar tus reliquias abordo de la nave antes de poder usarlas,,,JE MOET JE UITRUSTEN MET JE RELIKWIËN OP HET SCHIP VOORDAT JE ZE GEBRUIKT. ,DEVI EQUIPAGGIARE LE RELIQUIE SULLA NAVE PRIMA DI POTERLE USARE,,在使用遗迹之前，你必须先要将它们在船上组装起来,,Musisz wyposażyć się w relikty na statku zanim ich użyjesz,,คุณต้องใส่ RELIC ในยานก่อน RELIC จึงจะทำงาน.,,,,,אתה חייב לחמוש את כל הפסלים שלך בספינה לפני שאתה משתמש בהם,DU MÅSTE UTRUSTA DIG MED DINA RELIKER PÅ SKEPPET INNAN DU KAN ANVÄNDA DEM,ΠΡΕΠΕΙ ΝΑ ΕΞΟΠΛΗΣΕΤΕ ΤΑ ΚΕΙΜΗΛΙΑ ΣΑΣ ΣΤΟ ΠΛΟΙΟ ΠΡΙΝ ΤΑ ΧΡΗΣΙΜΟΠΟΙΗΣΕΤΕ,,Yadigarlarını kullanmadan önce onları gemiye gidip takmalısın.,يجب عليك ان تضع الاثار في سفينتك قبل ان تستخدمهم,,,Трябва да добавите реликвите в базата преди да ги използвате,Turi pasirinkt relikvijas laive prieš naudodamas jas
TIPS_TITLE,HINT,DICA,SE LIGA,СОВЕТ,,Hinweise,INDICE,PISTA,Nápověda,,TIP,SUGGERIMENTO,,提示,,Wskazówka,,คำแนะนำ,,,,,רמזים,TIPS,ΒΟΗΘΗΜΑΤΑ,,İpucu,تلميح,,,Подзкаска,patarimas
